policyID,statecode,tiv,latitude,longitude,construction,granularity
403866,FL,102351.45,29.958904,-82.922729,Wood,3
828788,FL,155489.66,29.95822,-82.922424,Wood,1
751490,FL,137233.8,29.965832,-82.933777,Wood,4
972562,FL,123596.05,29.965721,-82.933777,Wood,4
367541,FL,107111.11,29.965717,-82.933777,Wood,4
481360,FL,96309.32,29.95775,-82.923635,Wood,3
920232,FL,104031.7,30.39431,-81.93397,Wood,1
727659,FL,338944.5,30.56267,-81.830429,Wood,1
471817,FL,272349,30.56267,-81.830429,Wood,1
983043,FL,129690,30.561651,-81.830193,Wood,1
578286,FL,123210,30.56267,-81.830429,Wood,1
347276,FL,3698.64,30.56106,-81.82632,Wood,3
477786,FL,2115760.5,30.5579,-81.8249,Reinforced Masonry,4
265907,FL,93548.58,30.56106,-81.82632,Wood,3
107560,FL,1037311.14,30.56106,-81.82632,Masonry,3
908183,FL,15463.3,30.57185,-81.82383,Wood,3
356024,FL,13893.35,30.562835,-81.826525,Wood,3
575299,FL,316618.23,30.567566,-81.826584,Wood,1
790478,FL,54834.66,30.60895,-81.83645,Wood,3
801776,FL,295269.11,30.59925,-81.81973,Wood,1
291781,FL,723734.17,30.53674,-81.77496,Masonry,3
537286,FL,1741572,30.555161,-81.825684,Masonry,1
289305,FL,135450,30.105968,-82.66227,Wood,4
697409,FL,60300,30.1018,-82.7094,Wood,1
633944,FL,22500,30.1018,-82.7094,Wood,4
963511,FL,34212.42,30.1018,-82.7094,Wood,4
729649,FL,460128.2,30.1653,-82.73404,Masonry,1
862584,FL,32169.69,30.1018,-82.7094,Wood,4
371891,FL,50550.75,30.17399,-82.57017,Wood,4
785595,FL,42300,30.1515,-82.6126,Wood,3
567696,FL,10171.26,30.16269,-82.64,Wood,4
219025,FL,155342.88,30.16269,-82.64,Wood,4
447216,FL,3698.64,30.16269,-82.64,Wood,4
305141,FL,4623.3,30.16269,-82.64,Wood,4
625575,FL,33287.76,30.16269,-82.64,Wood,4
262109,FL,21267.18,30.163641,-82.640976,Wood,1
228457,FL,729556.74,30.163641,-82.640976,Masonry,1
622799,FL,350446.14,30.163641,-82.640976,Wood,1
233271,FL,2135964.6,30.163641,-82.640976,Reinforced Masonry,1
932950,FL,4623.3,30.163641,-82.640976,Wood,1
641952,FL,2469639.6,30.1515,-82.6126,Reinforced Masonry,4
796260,FL,914073.3,30.1515,-82.6126,Masonry,4
301822,FL,3042940.5,30.1515,-82.6126,Reinforced Masonry,4
559927,FL,234997.65,30.1515,-82.6126,Wood,4
224400,FL,912600,30.1515,-82.6126,Masonry,4
123936,FL,1920744.9,30.1515,-82.6126,Reinforced Masonry,4
333818,FL,455754.6,30.1515,-82.6126,Masonry,4
254323,FL,1552693.95,30.1515,-82.6126,Masonry,4
247444,FL,8910,30.1515,-82.6126,Wood,4
882598,FL,398968.2,30.1515,-82.6126,Masonry,4
386918,FL,4500,30.1515,-82.6126,Wood,4
497337,FL,31071.6,30.1515,-82.6126,Wood,4
526844,FL,4956125.85,30.1515,-82.6126,Reinforced Masonry,4
623400,FL,40500,30.1515,-82.6126,Wood,4
826170,FL,135868.99,30.185885,-82.614795,Wood,1
185483,FL,36784.23,30.185885,-82.614795,Wood,1
920003,FL,1086940.9,30.185885,-82.614795,Masonry,1
274246,FL,16767.17,30.16649,-82.63503,Wood,1
423636,FL,1404900,30.176,-82.65581,Masonry,1
970906,FL,4696520.5,30.00777,-82.59694,Reinforced Masonry,3
227898,FL,67892.48,30.17509,-82.66252,Wood,1
525138,FL,86056.32,30.17501,-82.66205,Wood,1
923627,FL,67892.48,30.174776,-82.662277,Wood,1
619743,FL,67892.48,30.17476,-82.66251,Wood,1
910727,FL,86056.32,30.1745,-82.66205,Wood,1
363647,FL,67892.48,30.17447,-82.66251,Wood,1
512519,FL,101009.36,30.17417,-82.66218,Wood,1
904304,FL,67892.48,30.17451,-82.66351,Wood,1
835349,FL,67892.48,30.17475,-82.66314,Wood,1
891725,FL,86056.32,30.17514,-82.66341,Wood,1
923503,FL,86056.32,30.17474,-82.66348,Wood,1
292347,FL,132603.34,30.17664,-82.66314,Wood,3
363828,FL,132603.34,30.17638,-82.66314,Wood,3
110490,FL,91764.15,30.17623,-82.66406,Wood,3
480733,FL,457854.5,30.17698,-82.67019,Masonry,4
993346,FL,385480.82,30.174486,-82.671326,Masonry,4
934992,FL,213596.46,29.7917,-81.4271,Wood,4
645841,FL,1051338.42,29.7917,-81.4271,Masonry,4
747846,FL,6472.62,29.7917,-81.4271,Wood,4
482457,FL,159041.52,29.776566,-81.47171,Wood,1
574787,FL,12945.24,29.776566,-81.47171,Wood,1
831418,FL,29589.12,29.776566,-81.47171,Wood,1
968562,FL,12945.24,29.776566,-81.47171,Wood,1
576324,FL,29061,29.7255,-81.466309,Wood,1
290435,FL,48087,29.7255,-81.466309,Wood,1
526086,FL,128628,29.7255,-81.466309,Wood,1
119823,FL,128628,29.7255,-81.466309,Wood,1
497414,FL,128628,29.7255,-81.466309,Wood,1
340883,FL,4968,29.7255,-81.466309,Wood,1
892551,FL,157005,29.7255,-81.466309,Wood,1
670595,FL,459,29.7255,-81.466309,Wood,1
194101,FL,459,29.7255,-81.466309,Wood,1
167200,FL,1062,29.7255,-81.466309,Wood,1
139064,FL,2304,29.7255,-81.466309,Wood,1
846636,FL,1476,29.7255,-81.466309,Wood,1
310177,FL,185040,30.57332,-81.45291,Wood,1
865452,FL,11095.92,30.67464,-81.46114,Wood,3
783429,FL,8321.94,30.67464,-81.46114,Wood,3
878060,FL,199726.56,30.67423,-81.46052,Wood,1
935342,FL,118356.48,30.67423,-81.46052,Wood,1
456376,FL,17568.54,30.67423,-81.46052,Wood,1
363001,FL,147945.6,30.67453,-81.46016,Wood,1
478864,FL,724933.44,30.67513,-81.44708,Masonry,1
600402,FL,8284485.6,30.64687,-81.45801,Reinforced Masonry,1
483983,FL,438498,30.650143,-81.454407,Masonry,1
991615,FL,99960.9,30.6202,-81.4719,Wood,4
644573,FL,669692.78,30.576765,-81.453979,Masonry,1
853278,FL,240539.39,30.576765,-81.453979,Wood,1
100658,FL,331518.28,30.6202,-81.4719,Wood,4
433115,FL,5919.86,30.576765,-81.453979,Wood,1
760337,FL,77426.73,30.61988,-81.46815,Wood,1
884738,FL,765763.8,30.576765,-81.453979,Masonry,1
610102,FL,7532014.45,30.671095,-81.462097,Reinforced Masonry,1
830823,FL,963962.79,30.67,-81.462,Masonry,3
618364,FL,121066.57,30.596535,-81.546837,Wood,1
712563,FL,70964.84,30.596535,-81.546837,Wood,1
493030,FL,755749,30.57326,-81.45367,Masonry,1
188150,FL,2162232,30.65372,-81.45105,Reinforced Masonry,1
589642,FL,615141.68,30.63945,-81.455553,Masonry,1
846109,FL,135000,30.570326,-81.451576,Wood,3
399079,FL,161748,30.5708,-81.44959,Wood,1
680135,FL,164484,30.5708,-81.44959,Wood,1
621379,FL,170532,30.571087,-81.448578,Wood,1
606710,FL,181980,30.570854,-81.448212,Wood,1
443319,FL,181980,30.571154,-81.448433,Wood,1
228591,FL,186012,30.5708,-81.44959,Wood,1
721610,FL,192348,30.571323,-81.450188,Wood,1
507395,FL,197604,30.570711,-81.448067,Wood,1
213399,FL,198468,30.571777,-81.449326,Wood,1
579400,FL,198612,30.5716,-81.45134,Wood,1
509951,FL,200052,30.57098,-81.44838,Wood,1
930798,FL,201276,30.571613,-81.450577,Wood,1
729247,FL,207324,30.5708,-81.44959,Wood,1
288344,FL,208836,30.5708,-81.44959,Wood,1
275351,FL,212436,30.57164,-81.450279,Wood,1
976690,FL,218052,30.571306,-81.45015,Wood,1
507111,FL,218412,30.571608,-81.450661,Wood,1
547458,FL,221076,30.571609,-81.450615,Wood,1
827732,FL,226764,30.571665,-81.450089,Wood,1
229489,FL,237132,30.571615,-81.450531,Wood,1
175251,FL,239652,30.571812,-81.448822,Wood,1
590043,FL,245052,30.571596,-81.450874,Wood,1
476037,FL,245052,30.5708,-81.44959,Wood,1
674960,FL,257868,30.57086,-81.448174,Wood,1
743790,FL,6381518.4,30.570326,-81.451576,Reinforced Masonry,3
817283,FL,15390000,30.570221,-81.451309,Reinforced Concrete,1
201980,FL,235696.5,30.64448,-81.45489,Wood,1
351505,FL,18000,30.653568,-81.449318,Wood,1
798806,FL,1772074.8,30.65118,-81.44969,Masonry,1
153643,FL,95922,30.65118,-81.44969,Wood,1
683653,FL,20763,30.65118,-81.44969,Wood,1
475264,FL,16560000,30.639568,-81.442482,Reinforced Concrete,1
912944,FL,582759.1,30.59491,-81.539909,Masonry,4
945134,FL,2244.53,30.59491,-81.539909,Wood,4
219959,FL,196396.18,30.59491,-81.539909,Wood,4
793504,FL,21500.33,30.6119,-81.455986,Wood,3
450423,FL,74091.86,30.596535,-81.546837,Wood,1
505178,FL,86863.23,30.596535,-81.546837,Wood,1
408688,FL,796134.02,30.66665,-81.45235,Masonry,1
477759,FL,298522.2,30.657654,-81.463341,Wood,1
882441,FL,23118.64,30.65838,-81.46358,Wood,1
727602,FL,63407.91,30.617165,-81.461609,Wood,1
313226,FL,285728.39,30.617874,-81.457794,Wood,1
337027,FL,9016.27,30.663744,-81.453941,Wood,4
649251,FL,80915.23,30.67024,-81.454628,Wood,3
142564,FL,28898.3,30.61945,-81.465965,Wood,1
197782,FL,1505741.49,30.610081,-81.446259,Masonry,1
709787,FL,53078.59,30.610081,-81.446259,Wood,1
655065,FL,162952.72,30.67044,-81.46572,Wood,3
176778,FL,2261249.55,30.671413,-81.464905,Reinforced Masonry,1
559179,FL,1363101.75,30.65501,-81.45117,Masonry,1
698071,FL,295716.54,30.665545,-81.43205,Wood,3
642950,FL,392231.24,30.63862,-81.43702,Masonry,4
477240,FL,192917.17,30.66665,-81.45235,Wood,1
672348,FL,168339.59,30.63833,-81.44564,Wood,1
922844,FL,316029.52,30.617874,-81.457794,Wood,1
948580,FL,151505.63,30.67069,-81.458395,Wood,3
364552,FL,280565.98,30.65838,-81.46358,Wood,1
561601,FL,460128.2,30.671312,-81.46492,Masonry,1
584749,FL,324000,30.626793,-81.485847,Wood,1
601327,FL,212850,29.925,-82.7109,Wood,1
302578,FL,135000,29.9248,-82.71114,Wood,1
756585,FL,94284,29.90334,-82.63364,Wood,1
627591,FL,6300,29.919149,-82.639236,Wood,1
663563,FL,1248407.1,29.9301,-82.7088,Masonry,3
108959,FL,114170.34,30.041415,-82.70641,Wood,3
951069,FL,498344.66,29.92143,-82.71411,Masonry,1
490641,FL,910.22,30.265605,-82.16215,Wood,3
443968,FL,3195.34,30.27125,-82.160875,Wood,3
433688,FL,172157.99,29.980408,-81.658165,Wood,1
168578,FL,945000,30.0517,-81.82975,Masonry,1
294375,FL,76500,30.0517,-81.82975,Wood,1
902110,FL,76500,30.0517,-81.82975,Wood,1
279816,FL,431726.4,29.98839,-81.70777,Masonry,1
994565,FL,11767.98,29.9826,-81.7238,Wood,4
930535,FL,15981.99,29.9826,-81.7238,Wood,4
844642,FL,35302.09,29.9826,-81.7238,Wood,4
292887,FL,26396.15,29.9826,-81.7238,Wood,4
655128,FL,7536.5,29.9826,-81.7238,Wood,4
164038,FL,13198.07,29.9826,-81.7238,Wood,4
163057,FL,29410.75,29.9826,-81.7238,Wood,4
327730,FL,13198.07,29.9826,-81.7238,Wood,4
218187,FL,25780.36,29.9826,-81.7238,Wood,4
697530,FL,9806.65,29.9826,-81.7238,Wood,4
619053,FL,15992.1,29.9826,-81.7238,Wood,4
431406,FL,9806.65,29.9826,-81.7238,Wood,3
256801,FL,13198.07,29.9826,-81.7238,Wood,4
571398,FL,304842.43,29.9826,-81.7238,Wood,3
239669,FL,13198.07,29.9826,-81.7238,Wood,3
530369,FL,48252.01,29.9826,-81.7238,Wood,4
948187,FL,9806.65,29.9826,-81.7238,Wood,3
571059,FL,9190.86,29.9826,-81.7238,Wood,4
470539,FL,68931.45,29.993125,-81.67742,Wood,3
791046,FL,68931.45,29.993125,-81.67742,Wood,3
563971,FL,27572.58,29.993125,-81.67742,Wood,3
823903,FL,13786.29,29.993125,-81.67742,Wood,3
812504,FL,9190.86,29.9826,-81.7238,Wood,4
597719,FL,102937.63,29.995916,-81.689049,Wood,1
716513,FL,19605.94,30.004622,-81.683899,Wood,3
378286,FL,13198.07,29.9826,-81.7238,Wood,4
698982,FL,9806.65,29.9826,-81.7238,Wood,4
624550,FL,9806.65,29.9826,-81.7238,Wood,4
666076,FL,11764.3,29.9826,-81.7238,Wood,4
474145,FL,7619.22,29.9826,-81.7238,Wood,4
572929,FL,13198.07,29.9826,-81.7238,Wood,4
640205,FL,6433.6,29.9826,-81.7238,Wood,3
295930,FL,6617.42,30.0156,-81.70065,Wood,3
823004,FL,9806.65,29.9826,-81.7238,Wood,4
230536,FL,8712.94,30.004385,-81.683762,Wood,3
936142,FL,301000.66,30.00421,-81.684,Wood,3
724639,FL,57442.87,29.9826,-81.7238,Wood,4
119986,FL,18381.72,29.9826,-81.7238,Wood,4
603370,FL,3032.98,29.9826,-81.7238,Wood,4
532496,FL,3032.98,29.9826,-81.7238,Wood,4
786954,FL,9007.04,30.00169,-81.71087,Wood,4
416348,FL,18381.72,29.9826,-81.7238,Wood,4
506364,FL,652150.86,30.006186,-81.698914,Masonry,1
311994,FL,75824.59,30.006186,-81.698914,Wood,1
807442,FL,91908.6,30.006186,-81.698914,Wood,1
235695,FL,45954.3,30.006186,-81.698914,Wood,1
481294,FL,64336.02,30.006186,-81.698914,Wood,1
292670,FL,234366.92,30.006186,-81.698914,Wood,1
127739,FL,13786.29,30.006186,-81.698914,Wood,1
869056,FL,22977.15,29.9994,-81.71524,Wood,3
514471,FL,18381.72,29.9826,-81.7238,Wood,3
903764,FL,91908.6,29.99534,-81.684074,Wood,3
192068,FL,43840.4,29.98799,-81.69477,Wood,3
109815,FL,38601.61,30.00593,-81.698545,Wood,3
495339,FL,413588.69,29.98272,-81.676795,Masonry,3
752123,FL,13786.29,29.9826,-81.7238,Wood,4
412775,FL,22977.15,30.00228,-81.699965,Wood,3
249958,FL,25274.86,29.96809,-81.65459,Wood,3
754919,FL,27572.58,29.989515,-81.687235,Wood,3
829637,FL,137862.9,29.989515,-81.687235,Wood,3
931429,FL,91908.6,29.989515,-81.687235,Wood,3
565451,FL,22977.15,30.00414,-81.700315,Wood,3
722334,FL,27572.58,30.00421,-81.684,Wood,3
630898,FL,77254.74,29.9817,-81.81295,Wood,3
166536,FL,212887.5,29.9817,-81.81295,Wood,3
469135,FL,653122.95,29.98782,-81.69136,Masonry,1
678786,FL,635702.59,30.031706,-81.708595,Masonry,1
284473,FL,781465.69,29.839308,-81.661644,Masonry,3
499389,FL,638884.47,29.986181,-81.695091,Masonry,1
541241,FL,1939500,29.98,-81.69609,Reinforced Masonry,1
797586,FL,6760449.39,29.99665,-81.68111,Reinforced Masonry,1
812823,FL,162366.3,30.026604,-81.70697,Wood,1
598244,FL,648862.42,29.981771,-81.675621,Masonry,3
788363,FL,240578.59,29.997179,-81.736023,Wood,1
737787,FL,13467.17,30.005896,-81.730293,Wood,1
445518,FL,19639.62,29.892822,-81.670074,Wood,1
758347,FL,604316.67,29.983204,-81.755379,Masonry,1
195133,FL,171459.48,29.983204,-81.755379,Wood,1
991548,FL,822091.98,29.99319,-81.68175,Masonry,1
696936,FL,85444.69,30.00093,-81.679455,Wood,3
393176,FL,26934.33,30.00135,-81.742455,Wood,3
626647,FL,162728.27,30.00135,-81.742455,Wood,3
915781,FL,589356.89,30.00135,-81.742455,Masonry,3
827852,FL,13657.95,30.00135,-81.742455,Wood,3
800420,FL,64726.57,29.983204,-81.755379,Wood,1
728346,FL,2603338.04,29.983204,-81.755379,Reinforced Masonry,1
928642,FL,67335.83,29.983204,-81.755379,Wood,1
442061,FL,22445.28,29.983204,-81.755379,Wood,1
810826,FL,31984.52,29.983204,-81.755379,Wood,1
336798,FL,44890.56,29.983204,-81.755379,Wood,1
830917,FL,15341.35,29.983204,-81.755379,Wood,1
984232,FL,1748172.94,29.99146,-81.67947,Masonry,1
203667,FL,212051.77,30.024078,-81.714539,Wood,1
395084,FL,238222.96,30.024078,-81.714539,Wood,1
869242,FL,174354.92,30.024033,-81.714836,Wood,1
704537,FL,29086.84,29.9826,-81.7238,Wood,4
692691,FL,49883.51,29.99501,-81.69407,Wood,3
580758,FL,33850.85,30.046192,-81.795082,Wood,1
515486,FL,14204.49,30.046192,-81.795082,Wood,1
884079,FL,60112.94,30.046192,-81.795082,Wood,1
491095,FL,776595.4,29.9826,-81.7238,Masonry,4
579764,FL,88434.4,29.9826,-81.7238,Wood,1
263177,FL,61724.52,29.992,-81.68678,Wood,1
710739,FL,33667.92,29.99327,-81.724515,Wood,3
156129,FL,64275.42,29.992,-81.68678,Wood,1
178800,FL,216363.6,29.869762,-82.202431,Wood,1
406073,FL,106317.27,29.86261,-82.135475,Wood,3
450089,FL,170207.57,29.864408,-82.135536,Wood,1
894206,FL,189999.9,30.687055,-81.9198,Wood,1
472007,FL,635996.7,30.7595,-81.9576,Masonry,4
500287,FL,1729530,30.69844,-81.908635,Masonry,4
365732,FL,110218.53,30.690071,-81.919342,Wood,3
365145,FL,123995.38,30.690071,-81.919342,Wood,3
237841,FL,13777.78,30.690071,-81.919342,Wood,3
497561,FL,38954.52,30.692579,-81.923798,Wood,1
245837,FL,428020.45,30.692579,-81.923798,Masonry,1
732075,FL,38954.52,30.687847,-81.928619,Wood,3
657625,FL,3505598.5,30.698156,-81.917923,Reinforced Masonry,1
790556,FL,140160.38,30.692579,-81.923798,Wood,1
207626,FL,60397.19,30.68227,-82.010965,Wood,3
902008,FL,1138559.14,30.68758,-81.90805,Masonry,1
135936,FL,4623.3,30.51869,-82.95187,Wood,3
997759,FL,34212.42,30.51869,-82.95187,Wood,3
470224,FL,11095.92,30.51869,-82.95187,Wood,3
367761,FL,25899.23,30.505239,-82.95285,Wood,1
285586,FL,10211.17,30.505239,-82.95285,Wood,1
122164,FL,4084.47,30.496,-82.9527,Wood,4
152913,FL,26920.35,30.465835,-83.006185,Wood,3
655156,FL,80668.21,30.523375,-82.95845,Wood,1
989201,FL,70642.7,30.523375,-82.95845,Wood,1
207985,FL,263169.6,30.52085,-82.950535,Wood,4
732449,FL,15873.72,30.51929,-82.94598,Wood,1
665653,FL,246924.56,30.519608,-82.954086,Wood,1
939634,FL,942304.98,30.496,-82.9527,Masonry,4
981796,FL,12996.03,30.52296,-82.955515,Wood,4
269573,FL,42886.9,30.496,-82.9527,Wood,3
602123,FL,2784.86,30.496,-82.9527,Wood,4
336717,FL,105764.12,30.518326,-82.948914,Wood,1
238449,FL,18419.71,30.496,-82.9527,Wood,3
530357,FL,36836.28,30.52904,-82.960715,Wood,3
896911,FL,214534.66,30.496,-82.9527,Wood,3
391646,FL,44199.98,30.496,-82.9527,Wood,3
710345,FL,51130.14,30.496,-82.9527,Wood,3
944525,FL,194537.7,30.5696,-83.1456,Wood,4
800878,FL,28776.92,30.599605,-83.236685,Wood,3
866106,FL,151310.92,30.58925,-83.09455,Wood,1
204794,FL,179562.23,30.5696,-83.1456,Wood,1
849458,FL,16833.96,30.5696,-83.1456,Wood,4
806471,FL,24914.26,30.5696,-83.1456,Wood,3
464589,FL,169461.85,30.603361,-83.09906,Wood,1
591943,FL,407520,30.02339,-82.3414,Masonry,3
973133,FL,137160,30.02339,-82.3414,Wood,3
743965,FL,123300,30.02756,-82.33126,Wood,1
528185,FL,37823.84,29.934589,-82.409576,Wood,3
219113,FL,181487.52,30.024082,-82.338158,Wood,3
376803,FL,948148.79,30.017946,-82.344803,Masonry,1
233559,FL,585000,30.19826,-82.63482,Masonry,1
579117,FL,82620,30.2598,-82.6422,Wood,4
517674,FL,61027.56,30.18928,-82.62603,Wood,1
980808,FL,22500,30.189347,-82.631552,Wood,1
143584,FL,874801.8,30.179675,-82.67663,Masonry,1
489643,FL,504230.4,30.367133,-82.629161,Masonry,3
986109,FL,67591.02,30.2598,-82.6422,Wood,4
654640,FL,135763.24,30.191295,-82.64519,Wood,1
700895,FL,702820.8,30.183475,-82.68749,Masonry,4
407962,FL,129600000,30.232008,-82.638557,Steel Frame,3
494610,FL,67892.48,30.174957,-82.662956,Wood,1
744305,FL,67892.48,30.20295,-82.63428,Wood,1
512991,FL,102221.41,30.20298,-82.63389,Wood,1
507789,FL,105926,30.174339,-82.662567,Wood,4
186262,FL,4542119.64,30.194994,-82.638016,Reinforced Masonry,1
978388,FL,191242.75,30.19006,-82.60341,Wood,1
784347,FL,921352.86,30.201794,-82.661995,Masonry,1
679408,FL,35322.13,30.218323,-82.645874,Wood,1
306619,FL,108562.2,30.218323,-82.645874,Wood,1
457004,FL,26195.88,30.218323,-82.645874,Wood,1
329255,FL,101204.64,30.25387,-82.70283,Wood,3
900892,FL,16160.6,30.25387,-82.70283,Wood,3
633241,FL,22781.96,30.25387,-82.70283,Wood,3
502372,FL,114298.09,30.27805,-82.69878,Wood,3
719075,FL,315302.29,30.186512,-82.695274,Wood,3
920786,FL,109954.93,30.2598,-82.6422,Wood,4
232605,FL,180630.62,30.160645,-82.708005,Wood,1
601984,FL,124374.9,30.2598,-82.6422,Wood,4
459878,FL,134464.05,30.201059,-82.635643,Wood,1
565530,FL,496159.61,30.201059,-82.635643,Masonry,1
202651,FL,2311064.6,30.201059,-82.635643,Reinforced Masonry,1
909104,FL,72279,30.2988,-82.6063,Wood,4
872719,FL,22356.54,30.189365,-82.63753,Wood,4
997611,FL,16767.17,30.19182,-82.6585,Wood,4
519606,FL,16767.17,30.197075,-82.63814,Wood,3
624248,FL,396814.48,30.11852,-82.68968,Masonry,4
783767,FL,167668.04,30.189645,-82.63638,Wood,3
285479,FL,16767.17,30.201195,-82.7174,Wood,3
424793,FL,16767.17,30.183145,-82.636545,Wood,4
256213,FL,22356.54,30.1799,-82.66905,Wood,3
155199,FL,22356.54,30.188485,-82.6921,Wood,4
830871,FL,16767.17,30.2988,-82.6063,Wood,4
757768,FL,16767.17,30.17262,-82.66527,Wood,3
176583,FL,344852.16,30.2988,-82.6063,Wood,4
678864,FL,68970.43,30.2988,-82.6063,Wood,4
854000,FL,91960.58,30.18948,-82.61728,Wood,3
631978,FL,25748.96,30.2988,-82.6063,Wood,4
967058,FL,25105.24,30.2988,-82.6063,Wood,4
878374,FL,38623.44,30.2988,-82.6063,Wood,4
113053,FL,9196.06,30.18883,-82.62323,Wood,4
288738,FL,9196.06,30.195425,-82.636865,Wood,4
594369,FL,38623.44,30.2988,-82.6063,Wood,4
706890,FL,45980.29,30.2988,-82.6063,Wood,4
536032,FL,137940.86,30.2988,-82.6063,Wood,4
747825,FL,27944.98,30.2988,-82.6063,Wood,4
608124,FL,22356.54,30.2988,-82.6063,Wood,4
934739,FL,89423.38,30.2988,-82.6063,Wood,4
757078,FL,16767.17,30.175568,-82.588203,Wood,4
956518,FL,12250.99,30.2988,-82.6063,Wood,4
548584,FL,30686.32,30.2988,-82.6063,Wood,4
132904,FL,59774.37,30.2988,-82.6063,Wood,4
111857,FL,32186.2,30.2988,-82.6063,Wood,4
388383,FL,11549.33,30.16482,-82.64361,Wood,4
276410,FL,2070,30.043814,-82.075211,Wood,1
546756,FL,42481.06,30.045353,-82.073212,Wood,1
669229,FL,321053.4,30.422401,-83.30024,Wood,1
766573,FL,132651,30.416973,-83.30043,Wood,1
765578,FL,23400,30.41388,-83.298165,Wood,3
166613,FL,5932213.89,30.3969,-83.2753,Reinforced Masonry,4
883261,FL,977330.7,30.3969,-83.2753,Masonry,4
842655,FL,1222262.42,30.423132,-83.306053,Masonry,1
248167,FL,493833.6,30.323061,-82.853531,Masonry,3
976562,FL,305427.6,30.377098,-83.173874,Wood,1
620457,FL,288279,30.297314,-82.96032,Wood,3
336697,FL,910695.68,30.244864,-82.873199,Masonry,3
648295,FL,14066.75,30.2885,-83.0554,Wood,4
858080,FL,7571.54,30.304321,-83.012032,Wood,3
579910,FL,702715.18,30.304321,-83.012032,Masonry,3
735184,FL,132894.53,30.242275,-82.864685,Wood,3
420445,FL,14066.75,30.2885,-83.0554,Wood,4
373504,FL,113441.57,30.296335,-83.0299,Wood,1
266080,FL,123449.03,30.296747,-82.977993,Wood,3
178535,FL,701414.94,30.2885,-83.0554,Masonry,4
574531,FL,67590,30.28364,-82.12209,Wood,3
606491,FL,14670,30.283901,-82.122543,Wood,3
885991,FL,1449866.88,30.285202,-82.105835,Masonry,1
908170,FL,1849.32,30.285202,-82.105835,Wood,1
487022,FL,372637.98,30.285202,-82.105835,Masonry,1
723719,FL,211747.14,30.285257,-82.139542,Wood,1
628922,FL,6472.62,30.285257,-82.139542,Wood,1
232316,FL,2476576.8,30.2763,-82.1278,Reinforced Masonry,4
151933,FL,34713.82,30.30646,-82.1309,Wood,1
